meta_event_index,meta_event_id,meta_source_file_id,target_led_residual_ps,energy_ch1_max_amplitude_mV,energy_ch1_noise_rms_mV,energy_ch1_rise_t05_to_t50_ps,energy_ch1_t05_minus_timing_ch3_led_ps,energy_ch1_t50_minus_timing_ch3_led_ps,energy_ch2_max_amplitude_mV,energy_ch2_noise_rms_mV,energy_ch2_rise_t05_to_t50_ps,energy_ch2_t05_minus_timing_ch4_led_ps,energy_ch2_t50_minus_timing_ch4_led_ps,timing_ch3_max_amplitude_mV,timing_ch3_noise_rms_mV,timing_ch3_poly_c0,timing_ch3_poly_c1,timing_ch3_poly_c2,timing_ch3_poly_c3,timing_ch3_poly_c4,timing_ch3_poly_r2,timing_ch3_poly_rmse_mV,timing_ch4_max_amplitude_mV,timing_ch4_noise_rms_mV,timing_ch4_poly_c0,timing_ch4_poly_c1,timing_ch4_poly_c2,timing_ch4_poly_c3,timing_ch4_poly_c4,timing_ch4_poly_r2,timing_ch4_poly_rmse_mV
3,3,3;3;3;3,-25289.103851098575,465.4611434549515,1.4656682810337114,8987.12802319363,26629.324568605825,35616.45259179946,463.45739905090886,1.39313326203276,7411.07399624247,1572.4603252792342,8983.534321521704,163.62632232610486,1.5785549716544558,22.860346055179125,84.49827049563265,25.180568691457626,-94.06733175940927,-51.53877422687984,0.849740779515084,9.555734033104121,166.18834393021825,1.4226679315412263,62.02821536688356,202.0545907623123,54.12253878563467,-155.2134740408771,-52.704776167889875,0.8798194415586837,24.898412362814472
4,4,4;4;4;4,132.28514890142526,467.96773278176624,1.4633040235616224,9071.905970914486,1276.9695257778046,10348.87549669229,468.48834624290976,1.326550358896718,8064.4717497377915,1516.269542530118,9580.741292267909,163.50475271949836,1.3146839471241933,62.69309968786842,203.5642305161253,50.029413704176505,-159.59170428739165,-47.144728982752184,0.8787820349826589,24.877811858231826,161.59181630740204,1.0611812032338475,62.65249784336933,203.87601787273596,49.673970638960306,-158.29574582337113,-46.786565952828305,0.8809056039731752,24.818054362733367
12,12,12;12;12;12,-14103.365851098575,458.41655426458965,1.5421458668492316,8065.412185127158,15545.974760030358,23611.386945157516,466.56891991617886,1.8156189926397257,8331.871491223561,1652.4923874224696,9984.36387864603,162.5990041674013,1.3053562664537386,38.28571127646959,193.36161913539982,159.52047749127755,-145.17551459634447,-146.82656175199193,0.923839740725864,19.235305212203347,161.84433543558407,1.227800985458514,62.4527785370479,204.36035311574918,50.5107918665724,-159.0691439658877,-47.18213352678758,0.8778603439805672,25.19957887185227
14,14,14;14;14;14,140.13414890142548,457.9930314905687,1.493384525218153,8821.10478346283,1359.7940808942503,10180.898864357081,471.2611337254857,1.6749210473452598,8872.267853941523,1504.8818268729747,10377.149680814497,162.56955960492633,1.5209263595613316,62.02963649931097,202.27198872386597,54.46902045408891,-157.93032412194583,-51.51829958008763,0.8758295101165458,25.13852094180821,161.7780769636156,1.0095249430562765,62.56382918593602,204.49241149548237,50.89016269352424,-159.52693452156086,-47.64522630465843,0.8772596101358213,25.251349942563476
19,19,19;19;19;19,124.63914890142411,462.6034251868441,1.528071179624261,9287.116679033648,1313.1779409261028,10600.294619959752,464.29869456796587,1.1796296685704204,8254.594058815454,1533.5600330641305,9788.154091879584,163.3090136715182,0.987165333702784,62.53309993412486,200.92170976893794,52.68006296975338,-154.19651817070124,-52.72917683588152,0.8783687760951079,24.938021498197788,162.08482398166234,1.2325547741875813,62.44236167937409,204.62986702885368,53.05677463527348,-160.13990085724748,-49.219215495242345,0.8779336826607275,25.145324514378014
23,23,23;23;23;23,-162.02385109857667,461.7325311496352,1.4920826986565856,8555.653589206404,1573.4849150602734,10129.138504266677,462.0681538598292,1.5870749196175495,8283.794785681697,1508.0434219039062,9791.838207585604,162.43112584673509,1.1403121899684028,38.08752040004352,189.9177672623717,162.4113225425209,-139.2286293095963,-147.60604277666374,0.8923182946260183,23.234484398765535,171.20581062426936,1.104403182823747,62.48197549127542,204.3478098627995,53.46020639173356,-159.724291749211,-49.61139083944241,0.8778433548590427,25.14195668517234
27,27,27;27;27;27,87.65514890142376,467.9664602339253,1.6755192185501402,8599.367491826923,1366.9650761185892,9966.332567945512,469.81165460326883,1.8749950988202966,8221.27081711249,1534.7382396949918,9756.009056807481,164.59251101271366,1.0236190931036855,62.87766372922128,202.42712946053916,53.11538945439271,-158.09476173003793,-50.34666150069361,0.8781456439594784,24.880908193742624,162.08626830802677,1.0585042296635552,63.04896936035975,203.2806446977787,51.41556166294986,-158.2094572649749,-48.7031356703555,0.877764100065413,25.08086135865185
37,37,37;37;37;37,150.6921489014251,460.1854900262806,1.5186954649298006,8560.522920602854,1334.6899740783763,9895.212894681232,468.3285707917712,1.6210022159457005,8769.108765128954,1521.3341690808875,10290.442934209843,162.68670596204174,1.2069662512218273,62.67477986422681,202.5702687582044,49.836131508192196,-157.7425980942227,-47.66637753519568,0.8789896214301356,24.837229132684595,162.61892109971086,1.1179380556865852,62.24636860375013,204.9318583122789,51.28824047341291,-158.81028787234357,-48.795451241765655,0.8803822242848884,25.04123095217944
39,39,39;39;39;39,123.85414890142363,463.93766803235485,1.6468536967569054,8489.048328659186,1307.0891188804303,9796.137447539615,466.8834277584938,1.5744713443753713,8540.67315445929,1530.1404917381874,10070.813646197477,163.78621581976768,1.1944419866370752,63.40486896307695,201.49280298395198,49.81985334351792,-156.02274076641717,-48.045538022846,0.876471891512549,25.085477047206464,162.7296336393847,1.3908987604799157,62.830196021646884,204.86375764790156,52.147152271663,-159.7578260362251,-48.538968807729646,0.876115405841322,25.44113014327506
40,40,40;40;40;40,116.07314890142581,455.6557852894002,1.4910895247969453,9016.741891307416,1293.7641404096958,10310.506031717112,466.1806042990902,1.5809860420551511,7971.566365156416,1536.6175883027963,9508.183953459213,163.52884670930507,0.8789582449902726,62.5722997480933,203.38270696783044,50.07606869633427,-157.73115347674067,-48.8064804486023,0.8799768334023812,24.88333952086823,162.00942358031898,1.5955952503609252,63.36297278577479,204.11623093023752,46.7564677318028,-157.59667853822546,-44.868492595776814,0.8797266867888821,25.06642098690164
