meta_event_index,meta_event_id,meta_source_file_id,meta_shift_mode,meta_assigned_shift_ps,meta_discrete_group,target_shift_ps,energy_ch1_max_amplitude_mV,energy_ch1_t10_abs_ps,energy_ch2_max_amplitude_mV,energy_ch2_t10_abs_ps,timing_delta_t7_ps,timing_difference_c22_CO_Embed2_Dist_tau_d_expfit_meandiff,timing_difference_c22_CO_FirstMin_ac,timing_difference_c22_CO_HistogramAMI_even_2_5,timing_difference_c22_CO_f1ecac,timing_difference_c22_CO_trev_1_num,timing_difference_c22_DN_HistogramMode_10,timing_difference_c22_DN_HistogramMode_5,timing_difference_c22_DN_OutlierInclude_n_001_mdrmd,timing_difference_c22_DN_OutlierInclude_p_001_mdrmd,timing_difference_c22_FC_LocalSimple_mean1_tauresrat,timing_difference_c22_FC_LocalSimple_mean3_stderr,timing_difference_c22_IN_AutoMutualInfoStats_40_gaussian_fmmi,timing_difference_c22_MD_hrv_classic_pnn40,timing_difference_c22_PD_PeriodicityWang_th0_01,timing_difference_c22_SB_BinaryStats_diff_longstretch0,timing_difference_c22_SB_BinaryStats_mean_longstretch1,timing_difference_c22_SB_MotifThree_quantile_hh,timing_difference_c22_SB_TransitionMatrix_3ac_sumdiagcov,timing_difference_c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,timing_difference_c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,timing_difference_c22_SP_Summaries_welch_rect_area_5_1,timing_difference_c22_SP_Summaries_welch_rect_centroid
42,42,42;42;42;42,discrete,80,2,80.0,233.7328301918964,-23486.659244362847,216.1169815349481,-23455.747918122517,163.18964357309085,0.7011545337585768,32.0,0.13560420626137315,10.281569424299885,-0.006411431770517504,-0.299786214029222,0.2502541515861436,0.5514485514485514,0.24425574425574426,0.32,0.2716627122465255,24.0,0.147,199.0,26.0,135.0,1.3786430814581514,0.018124999999999995,0.25,0.375,0.9989770426969757,0.08590292412160157
46,46,46;46;46;46,discrete,80,2,80.0,242.9396536134667,-24316.057774447025,223.14451495957786,-24373.558546281256,172.29579409680795,0.7049088194091033,33.0,0.13560420626137315,10.4090453960076,-0.006279161626586251,-0.3340047809542499,0.21424875788340536,0.46853146853146854,0.10089910089910081,0.3333333333333333,0.267838177659219,22.0,0.112,134.0,37.0,231.0,1.349346547398473,0.004759071980963713,0.4166666666666667,0.125,0.9989589106495337,0.09203884727314453
47,47,47;47;47;47,discrete,0,1,0.0,242.30288492279226,-24300.81755855097,218.35697895806447,-24270.382961821862,85.02180438254925,0.65173445062432,32.0,0.1468262422587865,9.409005291734696,-0.007996858635661096,-0.017141588822915388,0.5530921892983036,0.46853146853146854,-0.11388611388611392,0.28,0.2933706294724098,23.0,0.313,192.0,32.0,140.0,1.3869200821970975,0.012916666666666667,0.375,0.4583333333333333,0.998966390207269,0.0981747704246875
55,55,55;55;55;55,discrete,0,1,0.0,262.3683483676352,-23327.106859310894,202.6737554648206,-23052.89606674593,12.375317702279176,1.2258895939461227,45.0,0.7262268932922923,18.75461932845988,-0.0013778137293753042,0.07952512367609099,-0.27075044031345774,-0.3746253746253746,-0.18681318681318682,0.25,0.2225534772072782,27.0,0.647,76.0,32.0,96.0,1.3425162091968201,0.002721088435374149,0.4583333333333333,0.5208333333333334,0.9967831388785644,0.061359231515429685
58,58,58;58;58;58,discrete,80,2,80.0,238.2602524871283,-24798.185665439647,229.83625956158588,-24821.95575479927,175.76422859568552,0.7440286533906909,33.0,0.10920318881636512,11.015114502984911,-0.005088244409984303,0.43948697845759543,-0.0864526609859615,0.41458541458541465,-0.041958041958041925,0.3076923076923077,0.25779372637421477,24.0,0.111,287.0,39.0,200.0,1.3529506370037379,0.00530932594644506,0.375,0.4375,0.9988816251298238,0.08590292412160157
59,59,59;59;59;59,discrete,-80,0,-80.0,238.5914862758315,-23674.767066073586,214.7160094342766,-23423.492525221904,5.187394981557958,1.1242016358128646,34.0,0.6282734365366395,13.194857830744152,0.0011590214931846735,-0.11003641615481419,0.2622412012502324,0.3816183816183816,-0.03946053946053946,0.25925925925925924,0.256591479642368,26.0,0.696,87.0,44.0,87.0,1.3669452364221581,0.002191380569758948,0.5416666666666666,0.5625,0.9985955456169238,0.06749515466697266
60,60,60;60;60;60,discrete,0,1,0.0,233.3676232979409,-24606.92100000025,225.5817820793779,-24417.845900961103,73.66150000328986,0.6804485870912025,32.0,0.20148520809717588,9.445758506259864,-0.007024746599888837,0.006026222277541571,0.5524966829043834,0.44955044955044965,-0.2157842157842158,0.2692307692307692,0.29520918814083175,25.0,0.564,103.0,19.0,81.0,1.4467513111214363,0.006694367497691597,0.125,0.3333333333333333,0.9988554395077541,0.08590292412160157
61,61,61;61;61;61,discrete,-80,0,-80.0,239.18838718856182,-24102.154934280807,219.36308382735197,-23815.68195466085,-31.871195732637858,0.8009534250116118,35.0,0.4457114235950924,11.900574095574697,0.0036979322356483113,0.002559197899912602,-0.46143794113447967,-0.0889110889110889,0.49750249750249753,0.16666666666666666,0.2573855791784535,34.0,0.551,158.0,35.0,135.0,1.3307348433016823,0.005671077504725897,0.6458333333333334,0.5416666666666666,0.9987303552476692,0.07363107781851563
67,67,67;67;67;67,discrete,-80,0,-80.0,245.81126559316107,-23993.375844208287,218.3950136565621,-23954.9943389756,23.321934735637484,0.9482114793533408,32.0,0.5273313501326418,14.91744906214391,-0.0023187426383636436,0.053059537553863834,-0.3864752488109442,0.5054945054945055,-0.26573426573426573,0.2413793103448276,0.25628153377611484,27.0,0.675,63.0,25.0,120.0,1.3804539600792651,0.007497116493656288,0.3125,0.4166666666666667,0.9981828789849864,0.07363107781851563
71,71,71;71;71;71,discrete,80,2,80.0,247.30938389375686,-23520.598905687097,212.44918768150697,-23538.554446864742,180.92858539947798,0.7194314550650036,33.0,0.125472882450142,10.691882078767579,-0.005642621278326661,0.5558942909309641,0.01960648577043056,0.5434565434565435,-0.1458541458541458,0.32,0.26357597139320094,24.0,0.148,173.0,26.0,158.0,1.3907758467882463,0.01,0.8541666666666666,0.20833333333333334,0.9989938145930416,0.08590292412160157
72,72,72;72;72;72,discrete,-80,0,-80.0,234.07279538866473,-23833.535256853673,207.40454812970782,-23353.865535413297,-38.69212685987122,0.8392784037274591,34.0,0.5124058951115834,13.890624087534475,0.0032197321871567084,-0.40354999291277516,-0.8734673338860579,0.02897102897102899,0.5364635364635364,0.035897435897435895,0.24079413302701408,33.0,0.415,155.0,31.0,68.0,1.328469929800685,0.08000000000000002,0.875,0.20833333333333334,0.9982653573241006,0.06749515466697266
74,74,74;74;74;74,discrete,80,2,80.0,251.19695992963563,-23329.395289299984,201.28648635035904,-23292.44543582079,161.06524545343248,0.6900371036545007,32.0,0.13163282423553238,10.296455938497964,-0.006084310995297222,0.6109653581494916,0.06587876094328848,0.5654345654345654,-0.06893106893106893,0.2962962962962963,0.2731083845646036,25.0,0.11,206.0,36.0,181.0,1.3559672932900684,0.004626247869491113,0.4791666666666667,0.25,0.9989657696590706,0.09203884727314453
83,83,83;83;83;83,discrete,80,2,80.0,229.04153903205727,-23950.102064112416,208.07239594680678,-23789.850853364074,133.32742450297275,0.7239347267311821,33.0,0.13272650731749558,10.698264875775578,-0.005784360485610918,0.5701770527299148,0.03857772281904914,0.5054945054945055,-0.11138861138861139,0.32,0.26701799143937605,23.0,0.23,243.0,22.0,122.0,1.3461901595987396,0.0018749999999999997,0.2916666666666667,0.4166666666666667,0.9989797848531752,0.08590292412160157
84,84,84;84;84;84,discrete,0,1,0.0,221.81181915789028,-24371.72779281094,215.48328683730475,-24207.67663341594,71.17983498542557,0.7251419125622169,15.0,0.1392627186192486,9.561934449782111,-0.0046808346525467615,-0.321649188961163,0.20595409180642132,0.4695304695304696,-0.2127872127872128,0.25925925925925924,0.2962331140013585,14.0,0.625,144.0,23.0,74.0,1.4775530880879983,0.0038957876795714637,0.375,0.4583333333333333,0.9984761682859814,0.08590292412160157
91,91,91;91;91;91,discrete,0,1,0.0,244.62644015566914,-23863.983024155405,210.60208936788766,-23745.94654119425,72.80366190482468,0.6606744190799773,33.0,0.21319941686657806,9.687594639950152,-0.006903781133357274,-0.08276353672500747,0.4684544354971383,0.5164835164835164,-0.0889110889110889,0.25925925925925924,0.29026506895050974,25.0,0.327,92.0,28.0,139.0,1.3633236257974224,0.010226442658875092,0.3333333333333333,0.4375,0.9989459715474951,0.0797670009700586
95,95,95;95;95;95,discrete,-80,0,-80.0,247.12374898672726,-23847.417464837123,199.32611161699666,-23538.619373037895,-64.3331421640525,0.6595886594745132,32.0,0.26692623902258306,9.20475301753213,0.00737166201865784,-0.05543679956372738,-0.6162173473958372,0.1513486513486514,0.5294705294705295,0.2692307692307692,0.2967701778868826,24.0,0.325,106.0,31.0,76.0,1.3671820419631302,0.006001846722068328,0.3541666666666667,0.4791666666666667,0.9987005902266611,0.0981747704246875
97,97,97;97;97;97,discrete,80,2,80.0,227.69518599429728,-24298.101263760767,198.33305611209585,-24222.830006700195,149.9130184313877,0.7276079288160983,33.0,0.13163282423553238,10.66368515480012,-0.005847607832320357,0.5910261488504363,0.05501754263992353,0.46453546453546446,-0.07792207792207795,0.3333333333333333,0.2649643700747938,23.0,0.134,166.0,34.0,138.0,1.3560403086660875,0.007733491969066033,0.375,0.25,0.9987241901595774,0.08590292412160157
98,98,98;98;98;98,discrete,0,1,0.0,232.7465111796069,-24817.779837273745,224.44757122382669,-24676.017263875478,67.93251587425786,0.6998481285696178,34.0,0.13854757982801658,10.446487223550225,-0.00632720596596829,-0.17137796034713304,0.3608761911500107,0.4185814185814185,-0.01998001998001997,0.25925925925925924,0.2732600698479913,25.0,0.332,159.0,31.0,117.0,1.3364518229156213,0.008278548819089362,0.375,0.4166666666666667,0.9986809091735622,0.08590292412160157
100,100,100;100;100;100,discrete,0,1,0.0,249.54247751561732,-24168.090831950874,227.30223864477097,-23997.07548397507,66.1417838400844,0.7158691503054834,34.0,0.16499524768461535,10.85658554695966,-0.005493295866337291,-0.3528769539472911,0.16041990675653217,0.4865134865134866,-0.1298701298701299,0.2413793103448276,0.2728166167788191,28.0,0.4,82.0,29.0,229.0,1.3533501903281424,0.003171856978085352,0.3958333333333333,0.3333333333333333,0.9989082460047706,0.0797670009700586
101,101,101;101;101;101,discrete,-80,0,-80.0,224.92179007717004,-24813.58844869299,217.45732846424767,-24708.901846383087,23.711999991530064,0.905101220557404,102.0,0.5162101275514003,23.583165246904716,-0.0038065269419408944,0.25533625182448194,-0.1841310958619169,0.4155844155844155,-0.27472527472527475,0.14583333333333334,0.23443050109671,40.0,0.538,251.0,43.0,158.0,1.3429327543758678,0.011666666666666665,0.6041666666666666,0.4166666666666667,0.9977127936511767,0.042951462060800784
