meta_event_index,meta_event_id,meta_source_file_id,meta_shift_mode,meta_assigned_shift_ps,meta_discrete_group,target_shift_ps,energy_ch1_max_amplitude_mV,energy_ch1_t10_abs_ps,energy_ch2_max_amplitude_mV,energy_ch2_t10_abs_ps,timing_delta_t7_ps,timing_difference_c22_CO_Embed2_Dist_tau_d_expfit_meandiff,timing_difference_c22_CO_FirstMin_ac,timing_difference_c22_CO_HistogramAMI_even_2_5,timing_difference_c22_CO_f1ecac,timing_difference_c22_CO_trev_1_num,timing_difference_c22_DN_HistogramMode_10,timing_difference_c22_DN_HistogramMode_5,timing_difference_c22_DN_OutlierInclude_n_001_mdrmd,timing_difference_c22_DN_OutlierInclude_p_001_mdrmd,timing_difference_c22_FC_LocalSimple_mean1_tauresrat,timing_difference_c22_FC_LocalSimple_mean3_stderr,timing_difference_c22_IN_AutoMutualInfoStats_40_gaussian_fmmi,timing_difference_c22_MD_hrv_classic_pnn40,timing_difference_c22_PD_PeriodicityWang_th0_01,timing_difference_c22_SB_BinaryStats_diff_longstretch0,timing_difference_c22_SB_BinaryStats_mean_longstretch1,timing_difference_c22_SB_MotifThree_quantile_hh,timing_difference_c22_SB_TransitionMatrix_3ac_sumdiagcov,timing_difference_c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,timing_difference_c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,timing_difference_c22_SP_Summaries_welch_rect_area_5_1,timing_difference_c22_SP_Summaries_welch_rect_centroid
47,47,47;47;47;47,continuous,49,-1,49.0,242.23184594239973,-24251.741366764098,218.35697895806447,-24270.382961821862,134.27926686571467,0.6722036476964379,32.0,0.13387982519213318,9.895307148272385,-0.007101556734681824,-0.23502358203312035,0.3250075018567866,0.4705294705294705,-0.08441558441558444,0.2916666666666667,0.2802126351671942,23.0,0.162,220.0,33.0,141.0,1.3814208462503288,0.004759071980963711,0.375,0.16666666666666666,0.9989886021798267,0.09203884727314453
55,55,55;55;55;55,continuous,66,-1,66.0,260.0657906950387,-23261.07471102245,202.6737554648206,-23052.89606674593,78.44353578713026,0.6501258966010636,32.0,0.3370868969588948,9.524551671676068,-0.008665044658374798,0.2764300906937027,0.8520761053002541,0.5774225774225774,-0.18081918081918086,0.28,0.29156828046627714,23.0,0.267,118.0,32.0,117.0,1.3492099704644347,0.0062499999999999995,0.3333333333333333,0.3958333333333333,0.9987761762166252,0.09203884727314453
58,58,58;58;58;58,continuous,48,-1,48.0,238.3159920468236,-24831.750231286696,229.83625956158588,-24821.95575479927,143.29825664290752,0.7105098712512002,32.0,0.11900352748083916,10.557435529335484,-0.005783761851339508,0.5663577463410316,0.02928696227126082,0.41358641358641357,-0.049950049950049924,0.3076923076923077,0.26851009091744865,24.0,0.136,273.0,38.0,198.0,1.3333590164518991,0.008079409048938134,0.4166666666666667,0.4166666666666667,0.998854994779175,0.08590292412160157
59,59,59;59;59;59,continuous,0,-1,0.0,237.865965591213,-23594.767066073586,214.7160094342766,-23423.492525221904,85.18739498155625,0.748413232315681,33.0,0.212547464185391,10.776539166065731,-0.005122677791177799,-0.16623189512108372,0.3670764085799041,0.5374625374625375,-0.049950049950049924,0.3333333333333333,0.2664054483900062,23.0,0.353,76.0,22.0,95.0,1.387204943734148,0.0065437239738251034,0.4166666666666667,0.20833333333333334,0.9989408966824257,0.08590292412160157
60,60,60;60;60;60,continuous,30,-1,30.0,233.4019012391329,-24576.57104626958,225.5817820793779,-24417.845900961103,103.3651248923384,0.6721267080162002,32.0,0.13816810419105735,9.726445816924718,-0.007330111970595429,-0.08924881518132999,0.4695759444132408,0.4505494505494505,-0.17232767232767232,0.2692307692307692,0.2860945965078028,24.0,0.38,101.0,17.0,146.0,1.4120653421576288,0.0011542012927054477,0.14583333333333334,0.3541666666666667,0.998905804418114,0.09203884727314453
61,61,61;61;61;61,continuous,-48,-1,-48.0,239.18064929240643,-24070.22589782572,219.36308382735197,-23815.68195466085,0.10516315716913027,2.86563344756787,112.0,0.950110903409836,28.49344065896343,-7.837529391080157e-05,-0.41670167168306105,-0.6447624159659503,-0.12787212787212787,-0.3556443556443556,0.12962962962962962,0.1815312364405095,40.0,0.69,199.0,29.0,149.0,1.303318969871549,0.012345679012345678,0.625,0.7083333333333334,0.9984509367603929,0.030679615757714843
67,67,67;67;67;67,continuous,89,-1,89.0,245.81978567141044,-23824.10971240243,218.3950136565621,-23954.9943389756,191.89859902900608,0.7321939448401492,32.0,0.12761883827455206,10.860231736233592,-0.005703349980539291,0.5427299537147796,0.009773581446394175,0.5144855144855145,-0.19280719280719283,0.32,0.26029769474070047,23.0,0.102,220.0,31.0,171.0,1.3672475534212616,0.0018749999999999995,0.8541666666666666,0.4375,0.9988604411956982,0.08590292412160157
71,71,71;71;71;71,continuous,-73,-1,-73.0,250.73851318717212,-23674.632741030655,212.44918768150697,-23538.554446864742,28.5005513644343,1.2424058643001927,16.0,0.47628073611150445,13.017819754681804,-0.001142387223572274,0.18146397454878693,-0.22421171686595587,0.5274725274725274,-0.37662337662337664,0.23333333333333334,0.2674649980585166,15.0,0.752,124.0,36.0,93.0,1.4339711164318756,0.008876645240281604,0.375,0.25,0.9985918136647718,0.07363107781851563
72,72,72;72;72;72,continuous,87,-1,87.0,234.063221082911,-23666.335314406766,207.40454812970782,-23353.865535413297,128.24060396735604,0.6676862777876063,32.0,0.19250854626512454,10.03689695092126,-0.007088074294042348,-0.05740187046341738,0.5015524245536094,0.5454545454545454,-0.5874125874125874,0.2692307692307692,0.2784665022781601,25.0,0.131,177.0,36.0,300.0,1.2997401004200333,0.00530932594644506,0.25,0.5,0.998874379058711,0.08590292412160157
74,74,74;74;74;74,continuous,86,-1,86.0,250.9230812778926,-23323.597286882075,201.28648635035904,-23292.44543582079,167.34487168915635,0.6920226955398376,32.0,0.12597873137750074,10.375809715434048,-0.005963980664756879,0.5942621526272989,0.05175794422361424,0.5664335664335665,-0.06743256743256743,0.2962962962962963,0.2713262906607416,25.0,0.104,206.0,33.0,181.0,1.361414491709966,0.004626247869491113,0.4791666666666667,0.25,0.9989697731376748,0.09203884727314453
